code,name,lat,lon
ATL,Hartsfield-Jackson Atlanta,33.6407,-84.4277
BOS,Boston Logan,42.3656,-71.0096
ORD,Chicago O'Hare,41.9742,-87.9073
DFW,Dallas/Fort Worth,32.8998,-97.0403
DEN,Denver International,39.8561,-104.6737
LAX,Los Angeles International,33.9425,-118.4081
SFO,San Francisco International,37.6213,-122.3790
SEA,Seattle-Tacoma,47.4502,-122.3088
JFK,John F. Kennedy,40.6413,-73.7781
EWR,Newark Liberty,40.6895,-74.1745
MIA,Miami International,25.7959,-80.2870
PHX,Phoenix Sky Harbor,33.4373,-112.0078
IAH,George Bush Houston,29.9902,-95.3368
MSP,Minneapolis-St. Paul,44.8848,-93.2223
DTW,Detroit Metropolitan,42.2124,-83.3534
CLT,Charlotte Douglas,35.2144,-80.9473
LAS,Harry Reid Las Vegas,36.0840,-115.1537
MCO,Orlando International,28.4312,-81.3081
SLC,Salt Lake City,40.7899,-111.9791
BWI,Baltimore/Washington,39.1754,-76.6684
DCA,Ronald Reagan Washington,38.8512,-77.0402
PHL,Philadelphia International,39.8744,-75.2424
SDF,Louisville Muhammad Ali,38.1744,-85.7360
MEM,Memphis International,35.0424,-89.9767
IND,Indianapolis International,39.7173,-86.2944
OAK,Oakland International,37.7213,-122.2208
PDX,Portland International,45.5898,-122.5951
STL,St. Louis Lambert,38.7487,-90.3700
TPA,Tampa International,27.9756,-82.5333
CVG,Cincinnati/Northern KY,39.0488,-84.6678
